cite_key,entry_type,bib_title,bib_date,doi,format_valid,resolves,status_code,crossref_title,crossref_year,title_similarity,year_match,error,suggested_doi,suggested_title,suggested_year,suggestion_score,isbn,isbn_confirmed,isbn_ol_found,isbn_gb_found,isbn_found_title,isbn_found_year,isbn_title_match,isbn_found_doi
Morgenbesser2017-jd,ARTICLE,"The autocratic mandate: elections, legitimacy and regime stability in Singapore",2017-03-04,10.1080/09512748.2016.1201134,True,True,200,"The autocratic mandate: elections, legitimacy and regime stability in Singapore",2017,1.0,yes,,,,,,,,,,,,,
Collins2012-ls,ARTICLE,Islamic religiosity and regime preferences: Explaining support for democracy and political Islam in Central Asia and the Caucasus,2012-09,10.1177/1065912912450554,True,True,200,Islamic Religiosity and Regime Preferences,2012,0.49,yes,,,,,,,,,,,,,
Collier1997-rr,ARTICLE,Democracy with adjectives: Conceptual innovation in comparative research,1997-04,10.1353/wp.1997.0009,True,True,200,Democracy with Adjectives: Conceptual Innovation in Comparative Research,1997,1.0,yes,,,,,,,,,,,,,
Buzogany2017-xf,ARTICLE,Illiberal democracy in Hungary: authoritarian diffusion or domestic causation?,2017-11-10,10.1080/13510347.2017.1328676,True,True,200,Illiberal democracy in Hungary: authoritarian diffusion or domestic causation?,2017,1.0,yes,,,,,,,,,,,,,
Ding2021-sg,ARTICLE,Democratic decoupling,2021-01-02,10.1080/13510347.2020.1842361,True,True,200,Democratic decoupling,2021,1.0,yes,,,,,,,,,,,,,
Grzymala-Busse2019-yr,ARTICLE,How populists rule: The consequences for democratic governance,2019-10,10.1086/705570,True,True,200,How Populists Rule: The Consequences for Democratic Governance,2019,1.0,yes,,,,,,,,,,,,,
Driessen2018-xt,ARTICLE,Sources of Muslim democracy: the supply and demand of religious policies in the Muslim world,2018-01-02,10.1080/13510347.2017.1334054,True,True,200,Sources of Muslim democracy: the supply and demand of religious policies in the Muslim world,2018,1.0,yes,,,,,,,,,,,,,
Aspinall2019-sd,ARTICLE,Southeast Asia's troubling elections: Nondemocratic pluralism in Indonesia,2019,10.1353/jod.2019.0055,True,True,200,Southeast Asia's Troubling Elections: Nondemocratic Pluralism in Indonesia,2019,1.0,yes,,,,,,,,,,,,,
Carothers2002-bg,ARTICLE,The end of the transition paradigm,2002,10.1353/jod.2002.0003,True,True,200,The End of the Transition Paradigm,2002,1.0,yes,,,,,,,,,,,,,
Jones2015-ab,ARTICLE,Seeing like an autocrat: Liberal social engineering in an illiberal state,2015-03,10.1017/s1537592714003119,True,True,200,Seeing Like an Autocrat: Liberal Social Engineering in an Illiberal State,2015,1.0,yes,,,,,,,,,,,,,
Nannestad2008-jq,ARTICLE,"What have we learned about generalized trust, if anything?",2008-06-01,10.1146/annurev.polisci.11.060606.135412,True,True,200,"What Have We Learned About Generalized Trust, If Anything?",2008,1.0,yes,,,,,,,,,,,,,
Schwartzberg2015-hf,ARTICLE,Epistemic democracy and its challenges,2015-05-11,10.1146/annurev-polisci-110113-121908,True,True,200,Epistemic Democracy and Its Challenges,2015,1.0,yes,,,,,,,,,,,,,
Hatemi2016-ph,ARTICLE,Give me attitudes,2016-05-11,10.1146/annurev-polisci-103113-034929,True,True,200,Give Me Attitudes,2016,1.0,yes,,,,,,,,,,,,,
Gerring2022-dp,ARTICLE,Does democracy matter?,2022-05-12,10.1146/annurev-polisci-060820-060910,True,True,200,Does Democracy Matter?,2022,1.0,yes,,,,,,,,,,,,,
Schedler2002-eg,ARTICLE,The Menu of Manipulation,2002,10.1353/jod.2002.0031,True,True,200,Elections Without Democracy: The Menu of Manipulation,2002,0.63,yes,,,,,,,,,,,,,
Brauen1977-ur,ARTICLE,Political socialization: A topical bibliography,1977-03-01,10.1177/0044118x7700800304,True,True,200,Political Socialization,1977,0.67,yes,,,,,,,,,,,,,
Weiss2013-px,ARTICLE,"Authoritarian signaling, mass audiences, and nationalist protest in China",2013-01,10.1017/s0020818312000380,True,True,200,"Authoritarian Signaling, Mass Audiences, and Nationalist Protest in China",2013,1.0,yes,,,,,,,,,,,,,
Chu2008-fk,BOOK,How East Asians view democracy,2008,10.7312/chu-14534,True,True,200,How East Asians View Democracy,2008,1.0,yes,,,,,,,,,,,,,
Schmitter1991-tj,ARTICLE,What democracy is. . . And is not,1991,10.1353/jod.1991.0033,True,True,200,What Democracy Is. . . and Is Not,1991,1.0,yes,,,,,,,,,,,,,
Murphy2013-mn,BOOK,Tree of salvation: Yggdrasil and the cross in the north,2013-11-28,10.1093/acprof:oso/9780199948611.001.0001,True,True,200,Tree of Salvation,2013,0.48,yes,,,,,,,,,,,,,
Onis2016-em,ARTICLE,Turkey’s two elections: The AKP comes back,2016,10.1353/jod.2016.0021,True,True,200,Turkey’s Two Elections: The AKP Comes Back,2016,1.0,yes,,,,,,,,,,,,,
Kuhonta2014-qk,ARTICLE,Democratic regression in Thailand: The ambivalent role of civil society and political institutions,2014-12-30,10.1355/cs36-3a,True,True,200,Democratic Regression in Thailand: The Ambivalent Role of Civil Society and Political Institutions,2014,1.0,yes,,,,,,,,,,,,,
Thompson2016-gc,ARTICLE,Bloodied democracy: Duterte and the death of liberal reformism in the Philippines,2016-12,10.1177/186810341603500303,True,True,200,Bloodied Democracy: Duterte and the Death of Liberal Reformism in the Philippines,2016,1.0,yes,,,,,,,,,,,,,
Nadeau1993-vo,ARTICLE,Accepting the election outcome: The effect of participation on losers' consent,1993-10,10.1017/s0007123400006736,True,True,200,Accepting the Election Outcome: The Effect of Participation on Losers' Consent,1993,1.0,yes,,,,,,,,,,,,,
Furman2022-nt,ARTICLE,"The role of family, peers and school in political socialization: Quantitative and qualitative study of Polish young adults’ experiences",2022-02-01,10.1386/ctl_00085_1,True,True,200,"The role of family, peers and school in political socialization: Quantitative and qualitative study of Polish young adults’ experiences",2022,1.0,yes,,,,,,,,,,,,,
Vladisavljevic2014-ya,ARTICLE,Popular protest in authoritarian regimes: evidence from communist and post-communist states,2014-04-03,10.1080/14683857.2014.901725,True,True,200,Popular protest in authoritarian regimes: evidence from communist and post-communist states,2014,1.0,yes,,,,,,,,,,,,,
Guerin2004-oy,ARTICLE,"Tolerance, protest and democratic transition: Survey evidence from 13 post‐communist countries",2004-05,10.1111/j.1475-6765.2004.00158.x,True,True,200,"Tolerance, protest and democratic transition: Survey evidence from 13 post‐communist countries",2004,1.0,yes,,,,,,,,,,,,,
Lorentzen2010-nu,ARTICLE,Regularizing rioting: Permitting public protest in an authoritarian regime,2010,10.2139/ssrn.995330,True,True,200,Regularizing Rioting: Permitting Public Protest in an Authoritarian Regime,2010,1.0,yes,,,,,,,,,,,,,
Stevens1975-jp,ARTICLE,Protest movement in an authoritarian regime: The Mexican case,1975-04,10.2307/421224,True,True,200,Protest Movement in an Authoritarian Regime: The Mexican Case,1975,1.0,yes,,,,,,,,,,,,,
Lankina2020-mw,ARTICLE,Protest in electoral autocracies: a new dataset,2020-01-02,10.1080/1060586x.2019.1656039,True,True,200,Protest in electoral autocracies: a new dataset,2020,1.0,yes,,,,,,,,,,,,,
Tertytchnaya2020-lc,ARTICLE,Electoral protests and political attitudes under electoral authoritarianism,2020-01,10.1086/705815,True,True,200,Electoral Protests and Political Attitudes under Electoral Authoritarianism,2020,1.0,yes,,,,,,,,,,,,,
Barakat2021-jb,ARTICLE,"Determinants of the Arab Spring protests in Tunisia, Egypt, and Libya: What have we learned?",2021-07-23,10.3390/socsci10080282,True,True,200,"Determinants of the Arab Spring Protests in Tunisia, Egypt, and Libya: What Have We Learned?",2021,1.0,yes,,,,,,,,,,,,,
Solt2015-wo,ARTICLE,Economic inequality and nonviolent protest: Economic inequality and nonviolent protest,2015-11,10.1111/ssqu.12198,True,True,200,Economic Inequality and Nonviolent Protest*,2015,0.66,yes,,,,,,,,,,,,,
Way2005-px,ARTICLE,"Authoritarian state building and the sources of regime competitiveness in the fourth wave: The cases of Belarus, Moldova, Russia, and Ukraine",2005-01,10.1353/wp.2005.0018,True,True,200,"Authoritarian State Building and the Sources of Regime Competitiveness in the Fourth Wave: The Cases of Belarus, Moldova, Russia, and Ukraine",2005,1.0,yes,,,,,,,,,,,,,
Dickey2001-ap,ARTICLE,The politics of democratization in Korea: The role of civil society,2001-12,10.1080/12294659.2001.10804986,True,True,200,The Politics of Democratization in Korea: The Role of Civil Society,2001,1.0,yes,,,,,,,,,,,,,
Yu2022-do,ARTICLE,Implications of analysis on Korean democracy for political education,2022-07-30,10.18230/tjye.2022.30.4.161,True,True,200,Implications of Analysis on Korean Democracy for Political Education,2022,1.0,yes,,,,,,,,,,,,,
Porteux2016-fu,ARTICLE,Public ordering of private coercion: Urban redevelopment and democratization in South Korea,2016-11,10.1017/jea.2016.20,True,True,200,PUBLIC ORDERING OF PRIVATE COERCION: URBAN REDEVELOPMENT AND DEMOCRATIZATION IN SOUTH KOREA,2016,1.0,yes,,,,,,,,,,,,,
Fleckenstein2019-ln,ARTICLE,"The political economy of education and skills in South Korea: democratisation, liberalisation and education reform in comparative perspective",2019-03-04,10.1080/09512748.2018.1443155,True,True,200,"The political economy of education and skills in South Korea: democratisation, liberalisation and education reform in comparative perspective",2019,1.0,yes,,,,,,,,,,,,,
Bae2013-vy,ARTICLE,Civil society and local activism in South Korea's local democratization,2013-03,10.1080/13510347.2011.650913,True,True,200,Civil society and local activism in South Korea's local democratization,2013,1.0,yes,,,,,,,,,,,,,
Hunter2019-ht,ARTICLE,Bolsonaro and Brazil's illiberal backlash,2019,10.1353/jod.2019.0005,True,True,200,Bolsonaro and Brazil's Illiberal Backlash,2019,1.0,yes,,,,,,,,,,,,,
Nasr2005-kp,ARTICLE,"The rise of ""Muslim democracy""",2005,10.1353/jod.2005.0032,True,True,200,"The Rise of ""Muslim Democracy""",2005,1.0,yes,,,,,,,,,,,,,
Gol2017-hy,ARTICLE,"The paradoxes of ‘new’ Turkey: Islam, illiberal democracy and republicanism",2017-07,10.1093/ia/iix135,True,True,200,"The paradoxes of ‘new’ Turkey: Islam, illiberal democracy and republicanism",2017,1.0,yes,,,,,,,,,,,,,
Wilson2015-fa,ARTICLE,Illiberal democracy and violent conflict in contemporary Indonesia,2015-11-10,10.1080/13510347.2014.949680,True,True,200,Illiberal democracy and violent conflict in contemporary Indonesia,2015,1.0,yes,,,,,,,,,,,,,
Croissant2021-zk,ARTICLE,Democratic regression in Asia: introduction,2021-01-02,10.1080/13510347.2020.1851203,True,True,200,Democratic regression in Asia: introduction,2021,1.0,yes,,,,,,,,,,,,,
Grzebalska2018-ul,ARTICLE,The gendered modus operandi of the illiberal transformation in Hungary and Poland,2018-05,10.1016/j.wsif.2017.12.001,True,True,200,The gendered modus operandi of the illiberal transformation in Hungary and Poland,2018,1.0,yes,,,,,,,,,,,,,
Bustikova2017-ct,ARTICLE,The illiberal turn or swerve in Central Europe?,2017-12-29,10.17645/pag.v5i4.1156,True,True,200,The Illiberal Turn or Swerve in Central Europe?,2017,1.0,yes,,,,,,,,,,,,,
Norris2017-fv,ARTICLE,Is western democracy backsliding? Diagnosing the risks,2017,10.2139/ssrn.2933655,True,True,200,Is Western Democracy Backsliding? Diagnosing the Risks,2017,1.0,yes,,,,,,,,,,,,,
Kotzian2011-gs,ARTICLE,Public support for liberal democracy,2011-01,10.1177/0192512110375938,True,True,200,Public support for liberal democracy,2011,1.0,yes,,,,,,,,,,,,,
Mudde2012-bn,BOOK,Populism in Europe and the Americas: Threat or corrective for democracy?,2012-05-28,10.1017/cbo9781139152365,True,True,200,Populism in Europe and the Americas,2012,0.67,yes,,,,,,,,,,,,,
Havlik2019-lu,ARTICLE,Technocratic populism and political illiberalism in central Europe,2019-11-02,10.1080/10758216.2019.1580590,True,True,200,Technocratic Populism and Political Illiberalism in Central Europe,2019,1.0,yes,,,,,,,,,,,,,
Goodman2019-ec,ARTICLE,"Liberal democracy, national identity boundaries, and populist entry points",2019-10-02,10.1080/08913811.2019.1647679,True,True,200,"Liberal Democracy, National Identity Boundaries, and Populist Entry Points",2019,1.0,yes,,,,,,,,,,,,,
Albertazzi2013-dz,ARTICLE,"Populism and liberal democracy: Populists in government in Austria, Italy, Poland and Switzerland",2013-07,10.1017/gov.2013.12,True,True,200,"Populism and Liberal Democracy: Populists in Government in Austria, Italy, Poland and Switzerland",2013,1.0,yes,,,,,,,,,,,,,
Somer2019-xg,ARTICLE,Transformations through polarizations and global threats to democracy,2019-01,10.1177/0002716218818058,True,True,200,Transformations through Polarizations and Global Threats to Democracy,2019,1.0,yes,,,,,,,,,,,,,
McCoy2021-sc,ARTICLE,Overcoming polarization,2021,10.1353/jod.2021.0012,True,True,200,Overcoming Polarization,2021,1.0,yes,,,,,,,,,,,,,
Moffitt2017-os,ARTICLE,Liberal illiberalism? The reshaping of the contemporary populist radical right in Northern Europe,2017-12-29,10.17645/pag.v5i4.996,True,True,200,Liberal Illiberalism? The Reshaping of the Contemporary Populist Radical Right in Northern Europe,2017,1.0,yes,,,,,,,,,,,,,
Case2009-qb,ARTICLE,Low-quality democracy and varied authoritarianism: elites and regimes in Southeast Asia today,2009-08-06,10.1080/09512740903068214,True,True,200,Low-quality democracy and varied authoritarianism: elites and regimes in Southeast Asia today,2009,1.0,yes,,,,,,,,,,,,,
Van-De-Walle1999-oi,ARTICLE,Political parties and party systems in Africa's illiberal democracies,1999-09,10.1080/09557579908400269,True,True,200,Political parties and party systems in Africa's illiberal democracies,1999,1.0,yes,,,,,,,,,,,,,
Haggard2021-xb,BOOK,Backsliding: Democratic regress in the contemporary world,2021-01-19,10.1017/9781108957809,True,True,200,Backsliding,2021,0.33,yes,,,,,,,,,,,,,
Mainwaring2019-un,ARTICLE,The fates of third-wave democracies,2019,10.1353/jod.2019.0008,True,True,200,The Fates Of Third-Wave Democracies,2019,1.0,yes,,,,,,,,,,,,,
O-Donnell2007-lq,ARTICLE,The perpetual crises of democracy,2007,10.1353/jod.2007.0012,True,True,200,The Perpetual Crises of Democracy,2007,1.0,yes,,,,,,,,,,,,,
Mansfield2007-rs,ARTICLE,"The sequencing ""fallacy""",2007,10.1353/jod.2007.0047,True,True,200,Exchange: The Sequencing “Fallacy”,2007,0.83,yes,,,,,,,,,,,,,
Plattner1998-px,ARTICLE,Liberalism and democracy: Can't have one without the other,1998,10.2307/20048858,True,True,200,Liberalism and Democracy: Can't Have One without the Other,1998,1.0,yes,,,,,,,,,,,,,
Munck2016-fx,ARTICLE,What is democracy? A reconceptualization of the quality of democracy,2016-01-02,10.1080/13510347.2014.918104,True,True,200,What is democracy? A reconceptualization of the quality of democracy,2016,1.0,yes,,,,,,,,,,,,,
Gerschewski2021-aj,ARTICLE,Erosion or decay? Conceptualizing causes and mechanisms of democratic regression,2021-01-02,10.1080/13510347.2020.1826935,True,True,200,Erosion or decay? Conceptualizing causes and mechanisms of democratic regression,2021,1.0,yes,,,,,,,,,,,,,
Cassani2020-up,ARTICLE,Reversing regimes and concepts: from democratization to autocratization,2020-06,10.1057/s41304-018-0168-5,True,True,200,Reversing regimes and concepts: from democratization to autocratization,2020,1.0,yes,,,,,,,,,,,,,
Waldner2018-yw,ARTICLE,Unwelcome change: Coming to terms with democratic backsliding,2018-05-11,10.1146/annurev-polisci-050517-114628,True,True,200,Unwelcome Change: Coming to Terms with Democratic Backsliding,2018,1.0,yes,,,,,,,,,,,,,
Bermeo2016-zl,ARTICLE,On Democratic Backsliding,2016,10.1353/jod.2016.0012,True,True,200,On Democratic Backsliding,2016,1.0,yes,,,,,,,,,,,,,
Agger1965-lh,ARTICLE,The civic culture: Political attitudes and democracy in five nations,1965-03,10.2307/2391036,True,True,200,The Civic Culture: Political Attitudes and Democracy in Five Nations.,1965,1.0,yes,,,,,,,,,,,,,
Guyton1988-np,ARTICLE,Critical thinking and political participation: Development and assessment of a causal model,1988-01,10.1080/00933104.1988.10505554,True,True,200,Critical Thinking and Political Participation: Development and Assessment of a Causal Model,1988,1.0,yes,,,,,,,,,,,,,
Heng2014-tg,ARTICLE,The relationships between student engagement and the academic achievement of first-year university students in Cambodia,2014-06,10.1007/s40299-013-0095-8,True,True,200,The Relationships between Student Engagement and the Academic Achievement of First-Year University Students in Cambodia,2014,1.0,yes,,,,,,,,,,,,,
Fisher1950-xq,ARTICLE,The expansion of japan: A study in oriental geopolitics: Part II. The greater east Asia co-prosperity sphere,1950-04-01,10.2307/1790152,True,True,200,The Expansion of Japan: A Study in Oriental Geopolitics: Part II. The Greater East Asia Co-Prosperity Sphere,1950,1.0,yes,,,,,,,,,,,,,
Tanneberg2020-sg,INBOOK,"How to measure dictatorship, dissent, and political repression",2020,10.1007/978-3-030-35477-0_3,True,True,200,"How to Measure Dictatorship, Dissent, and Political Repression",2020,1.0,yes,,,,,,,,,,,,,
Tanneberg2020-gq,INBOOK,Toward a theory of political repression,2020,10.1007/978-3-030-35477-0_2,True,True,200,Toward a Theory of Political Repression,2020,1.0,yes,,,,,,,,,,,,,
Hameiri2020-qf,INBOOK,Theorising political economy in southeast Asia,2020,10.1007/978-3-030-28255-4_1,True,True,200,Theorising Political Economy in Southeast Asia,2020,1.0,yes,,,,,,,,,,,,,
Kadir2017-hm,INPROCEEDINGS,Political socialization media of selayar islands general election,2017,10.2991/uicosp-17.2017.4,True,True,200,Political Socialization Media of Selayar Islands General Election,2017,1.0,yes,,,,,,,,,,,,,
Uldanov2019-cg,INBOOK,Protest publics as democratic innovators in authoritarian environments,2019,10.1007/978-3-030-05475-5_14,True,True,200,Protest Publics as Democratic Innovators in Authoritarian Environments,2019,1.0,yes,,,,,,,,,,,,,
Seccareccia2013-rt,ARTICLE,"Understanding financialization: History, theory, and institutional analysis: Editor's introduction",2013-12,10.2753/ijp0891-1916420400,True,True,200,"Understanding Financialization: History, Theory, and Institutional Analysis",2013,0.87,yes,,,,,,,,,,,,,
Del-Roio2015-to,BOOK,The prisms of gramsci: The political formula of the united front,2015-10-30,10.1163/9789004304185,True,True,200,The Prisms of Gramsci,2016,0.5,no,,,,,,,,,,,,,
Fligstein2009-yn,BOOK,"Euroclash: The EU, European identity, and the future of Europe",2009-10-15,10.1093/acprof:oso/9780199580859.001.0001,True,True,200,Euroclash,2009,0.26,yes,,,,,,,,,,,,,
Atkinson2003-jb,DATASET,The construction of democracy: Political socialization through military engagement: (429962005-001),2003,10.1037/e429962005-001,True,True,200,The construction of democracy: Political socialization through military engagement,2003,0.93,yes,,,,,,,,,,,,,
Kahu2013-th,ARTICLE,Framing student engagement in higher education,2013-06-01,10.1080/03075079.2011.598505,True,True,200,Framing student engagement in higher education,2013,1.0,yes,,,,,,,,,,,,,
Frye2019-st,ARTICLE,Hitting them with carrots: Voter intimidation and vote buying in Russia,2019-07,10.1017/s0007123416000752,True,True,200,Hitting Them With Carrots: Voter Intimidation and Vote Buying in Russia,2019,1.0,yes,,,,,,,,,,,,,
Lertchoosakul2021-ok,ARTICLE,The white ribbon movement: high school students in the 2020 Thai youth protests,2021-04-03,10.1080/14672715.2021.1883452,True,True,200,The white ribbon movement: high school students in the 2020 Thai youth protests,2021,1.0,yes,,,,,,,,,,,,,
Darling1974-gr,ARTICLE,Student protest and political change in Thailand,1974,10.2307/2755892,True,True,200,Student Protest and Political Change in Thailand,1974,1.0,yes,,,,,,,,,,,,,
Sombatpoonsiri2016-fp,ARTICLE,"Carnivalesque humor, emotional paradoxes, and street protests in Thailand",2016-02,10.1177/0392192120970409,True,True,200,"Carnivalesque humor, emotional paradoxes, and street protests in Thailand",2016,1.0,yes,,,,,,,,,,,,,
Stapnes2022-pw,ARTICLE,Responsibility to protest: An interpretative phenomenological analysis of motives for protest participation in Myanmar,2022-02,10.1037/pac0000473,True,True,200,Responsibility to protest: An interpretative phenomenological analysis of motives for protest participation in Myanmar.,2022,1.0,yes,,,,,,,,,,,,,
Emah2020-nl,ARTICLE,The dilemma of violent extremism and conflict escalation among youths in Myanmar,2020,10.47772/ijriss.2020.41213,True,True,200,The Dilemma of Violent Extremism and Conflict Escalation among Youths in Myanmar,2020,1.0,yes,,,,,,,,,,,,,
Silverstein1964-yk,ARTICLE,University students and politics in Burma,1964,10.2307/2754529,True,True,200,University Students and Politics in Burma,1964,1.0,yes,,,,,,,,,,,,,
Hong2019-lb,ARTICLE,"‘Forgotten’ democracy, student activism, and higher education in Myanmar: past, present, and future",2019-06-18,10.1007/s12564-019-09593-1,True,True,200,"‘Forgotten’ democracy, student activism, and higher education in Myanmar: past, present, and future",2019,1.0,yes,,,,,,,,,,,,,
Benzecry2017-ad,ARTICLE,What is political about political ethnography? On the context of discovery and the normalization of an emergent subfield,2017-07,10.1007/s11186-017-9289-z,True,True,200,What is political about political ethnography? On the context of discovery and the normalization of an emergent subfield,2017,1.0,yes,,,,,,,,,,,,,
Peterson2003-qs,ARTICLE,Book reviews,2003-03,10.2307/3556622,True,True,200,Book Reviews,2003,1.0,yes,,,,,,,,,,,,,
Feldman1988-pq,ARTICLE,Structure and consistency in public opinion: The role of core beliefs and values,1988-05,10.2307/2111130,True,True,200,Structure and Consistency in Public Opinion: the Role of Core Beliefs and Values,1988,1.0,yes,,,,,,,,,,,,,
McLeod2001-fe,ARTICLE,"Values, communication behavior, and political participation",2001-07,10.1080/10584600152400347,True,True,200,"Values, Communication Behavior, and Political Participation",2001,1.0,yes,,,,,,,,,,,,,
Connors2020-pw,ARTICLE,The social dimension of political values,2020-09,10.1007/s11109-019-09530-3,True,True,200,The Social Dimension of Political Values,2020,1.0,yes,,,,,,,,,,,,,
Maranell1970-gq,ARTICLE,Measures of political attitudes,1970-06,10.2307/2093023,True,True,200,Measures of Political Attitudes.,1970,1.0,yes,,,,,,,,,,,,,
Bay1965-px,ARTICLE,Politics and pseudopolitics: A critical evaluation of some behavioral literature,1965-03,10.2307/1976119,True,True,200,Politics and Pseudopolitics: A Critical Evaluation of Some Behavioral Literature,1965,1.0,yes,,,,,,,,,,,,,
Henry2007-ij,ARTICLE,Value judgments: The impact of perceived value violations on American political attitudes,2007-06,10.1111/j.1467-9221.2007.00569.x,True,True,200,Value Judgments: The Impact of Perceived Value Violations on American Political Attitudes,2007,1.0,yes,,,,,,,,,,,,,
Kallos1982-eq,ARTICLE,Political values: Their status and social function,1982-04,10.1177/019251218200300204,True,True,200,Political Values,1982,0.49,yes,,,,,,,,,,,,,
Schwartz2010-ks,ARTICLE,"Basic personal values, core political values, and voting: A longitudinal analysis: Basic personal values, political values and voting",2010-06,10.1111/j.1467-9221.2010.00764.x,True,True,200,"Basic Personal Values, Core Political Values, and Voting: A Longitudinal Analysis",2010,0.76,yes,,,,,,,,,,,,,
Unknown2002-ge,ARTICLE,Citizens and politics: perspectives from political psychology,2002-11-01,10.5860/choice.40-1834,True,True,200,Citizens and politics: perspectives from political psychology,2002,1.0,yes,,,,,,,,,,,,,
Glatz2016-hv,ARTICLE,The role of family experiences for adolescents’ readiness to use and participate in illegal political activity,2016-01,10.1177/0165025414558854,True,True,200,The role of family experiences for adolescents’ readiness to use and participate in illegal political activity,2016,1.0,yes,,,,,,,,,,,,,
Marien2011-ms,ARTICLE,Does political trust matter? An empirical investigation into the relation between political trust and support for law compliance: does political trust matter?,2011-03-10,10.1111/j.1475-6765.2010.01930.x,True,True,200,Does political trust matter? An empirical investigation into the relation between political trust and support for law compliance,2011,0.9,yes,,,,,,,,,,,,,
Zamboni2009-nl,ARTICLE,"Individualism, conservatism, and radicalism as criteria for processing political beliefs: a parametric fMRI study",2009-06-26,10.1080/17470910902860308,True,True,200,"Individualism, conservatism, and radicalism as criteria for processing political beliefs: A parametric fMRI study",2009,1.0,yes,,,,,,,,,,,,,
Rosema2008-bm,INBOOK,Social psychology and the study of politics,2008-09-11,10.1017/cbo9780511801921.013,True,True,200,Social psychology and the study of politics,2008,1.0,yes,,,,,,,,,,,,,
Quintelier2007-mg,ARTICLE,Differences in political participation between young and old people,2007-06,10.1080/13569770701562658,True,True,200,Differences in political participation between young and old people,2007,1.0,yes,,,,,,,,,,,,,
Gniewosz2009-ep,ARTICLE,"Political alienation in adolescence: Associations with parental role models, parenting styles, and classroom climate",2009-07-06,10.1177/0165025409103137,True,True,200,"Political alienation in adolescence: Associations with parental role models, parenting styles, and classroom climate",2009,1.0,yes,,,,,,,,,,,,,
Mutz2009-nv,INBOOK,Political psychology and choice,2009-09-02,10.1093/oxfordhb/9780199270125.003.0005,True,True,200,Political Psychology and Choice,2009,1.0,yes,,,,,,,,,,,,,
Inglehart1988-ek,ARTICLE,The renaissance of political culture,1988-12,10.2307/1961756,True,True,200,The Renaissance of Political Culture,1988,1.0,yes,,,,,,,,,,,,,
Jost2003-rs,ARTICLE,Political conservatism as motivated social cognition,2003-05,10.1037/0033-2909.129.3.339,True,True,200,Political conservatism as motivated social cognition.,2003,1.0,yes,,,,,,,,,,,,,
Lamont1988-ew,ARTICLE,"Cultural capital: Allusions, gaps and glissandos in recent theoretical developments",1988,10.2307/202113,True,True,200,"Cultural Capital: Allusions, Gaps and Glissandos in Recent Theoretical Developments",1988,1.0,yes,,,,,,,,,,,,,
Becker1993-ih,BOOK,"Human capital: A theoretical and empirical analysis, with special reference to education",1993-12-31,10.7208/chicago/9780226041223.001.0001,True,True,200,Human Capital,1993,0.26,yes,,,,,,,,,,,,,
Furman2022-qk,ARTICLE,"The role of family, peers and school in political socialization: Quantitative and qualitative study of Polish young adults’ experiences",2022-02-01,10.1386/ctl_00085_1,True,True,200,"The role of family, peers and school in political socialization: Quantitative and qualitative study of Polish young adults’ experiences",2022,1.0,yes,,,,,,,,,,,,,
Baker2001-qh,ARTICLE,Patriotism or opinion leadership?: The nature and origins of the “rally 'round the flag” effect,2001-10,10.1177/0022002701045005006,True,True,200,Patriotism or Opinion Leadership?,2001,0.52,yes,,,,,,,,,,,,,
Besley2002-fp,ARTICLE,The political economy of government responsiveness: Theory and evidence from India,2002-11-01,10.1162/003355302320935061,True,True,200,The Political Economy of Government Responsiveness: Theory and Evidence from India,2002,1.0,yes,,,,,,,,,,,,,
Thayer2011-iz,INBOOK,Political legitimacy in Vietnam under challenge,2011,10.1057/9781137001474_3,True,True,200,Political Legitimacy in Vietnam under Challenge,2011,1.0,yes,,,,,,,,,,,,,
King2013-vb,ARTICLE,How censorship in China allows government criticism but silences collective expression,2013-05,10.1017/s0003055413000014,True,True,200,How Censorship in China Allows Government Criticism but Silences Collective Expression,2013,1.0,yes,,,,,,,,,,,,,
Evans2006-np,ARTICLE,The political conditioning of economic perceptions,2006-02,10.1111/j.1468-2508.2006.00380.x,True,True,200,The Political Conditioning of Economic Perceptions,2006,1.0,yes,,,,,,,,,,,,,
Apostle1984-xi,ARTICLE,Political efficacy and political activity among fishermen in southwest Nova Scotia: A research note,1984-02,10.3138/jcs.19.1.157,True,True,200,Political Efficacy and Political Activity Among Fishermen in Southwest Nova Scotia: A Research Note,1984,1.0,yes,,,,,,,,,,,,,
Kalinin2018-hm,ARTICLE,Linking preference falsification and election fraud in electoral autocracies: The case of Russia,2018-02-22,10.1177/0032321717706013,True,True,200,Linking Preference Falsification and Election Fraud in Electoral Autocracies: The Case of Russia,2018,1.0,yes,,,,,,,,,,,,,
Allan2004-rt,ARTICLE,Political partisanship and welfare state reform in advanced industrial societies,2004-07-01,10.1111/j.0092-5853.2004.00083.x,True,True,200,Political Partisanship and Welfare State Reform in Advanced Industrial Societies,2004,1.0,yes,,,,,,,,,,,,,
Jordan2006-ml,ARTICLE,"Mothers, wives, and workers: Explaining gendered dimensions of the welfare state",2006-11-01,10.1177/0010414005284215,True,True,200,"Mothers, Wives, and Workers",2006,0.49,yes,,,,,,,,,,,,,
Peck2002-zt,ARTICLE,Neoliberalizing space,2002-07-01,10.1111/1467-8330.00247,True,True,200,Neoliberalizing Space,2002,1.0,yes,,,,,,,,,,,,,
